record_id,source_dataset,field,matched_categories,matched_spans
sif_guard_seed__OIL-01004,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-01025,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01027,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01034,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-01083,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-01104,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01108,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01145,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01165,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01190,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-01195,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01221,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01235,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-01286,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-01302,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
severe_injury_reports_jboysen__2015010309,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|crush_or_entrapment,'fire'|'trapped'
severe_injury_reports_jboysen__2015021089,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|struck_by_object,'explosion'|'struck by'
severe_injury_reports_jboysen__2015020049,severe_injury_reports_jboysen,potential_consequence,electrocution_or_electrical_shock|fire_or_explosion,'contact with live'|'explosion'
severe_injury_reports_jboysen__2015020653,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015020686,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015031425,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'harness'|'anchor point'
severe_injury_reports_jboysen__2015031453,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'full body harness'|'anchor point'
severe_injury_reports_jboysen__2015041702,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015041935,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015051779,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|crush_or_entrapment,'fire'|'caught between'
severe_injury_reports_jboysen__2015060206,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught in'
severe_injury_reports_jboysen__2015062994,severe_injury_reports_jboysen,barrier,Fall protection/harness|Seatbelt use,'lanyard'|'safety belt'
severe_injury_reports_jboysen__2015063713,severe_injury_reports_jboysen,potential_consequence,chemical_exposure_or_burn|crush_or_entrapment,'spill'|'caught between'
severe_injury_reports_jboysen__2015064050,severe_injury_reports_jboysen,barrier,Guardrails|Safety guard,'guardrail'|'safety guard'
severe_injury_reports_jboysen__2015074244,severe_injury_reports_jboysen,barrier,Lockout/Tagout (LOTO)|Interlock system,'tagged out'|'interlock'
severe_injury_reports_jboysen__2015074754,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015074802,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2015075011,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015075249,severe_injury_reports_jboysen,potential_consequence,crush_or_entrapment|vehicle_collision,'crushed'|'collision'
severe_injury_reports_jboysen__2015075299,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|chemical_exposure_or_burn,'explosion'|'spill'
severe_injury_reports_jboysen__2015085399,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2015085417,severe_injury_reports_jboysen,barrier,Guardrails|Safety guard,'guard rail'|'safety guard'
severe_injury_reports_jboysen__2015085420,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015085564,severe_injury_reports_jboysen,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'life-threatening'|'struck by'
severe_injury_reports_jboysen__2015085743,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015085751,severe_injury_reports_jboysen,barrier,Lockout/Tagout (LOTO)|Fall protection/harness,'lockout'|'fall protection'
severe_injury_reports_jboysen__2015086258,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|chemical_exposure_or_burn,'fire'|'spill'
severe_injury_reports_jboysen__2015097102,severe_injury_reports_jboysen,potential_consequence,struck_by_object|vehicle_collision,'struck by'|'vehicle struck'
severe_injury_reports_jboysen__2015097245,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'harness'|'anchor point'
severe_injury_reports_jboysen__2015107329,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|struck_by_object,'explosion'|'struck by'
severe_injury_reports_jboysen__2015107453,severe_injury_reports_jboysen,barrier,Fall protection/harness|Barricading/exclusion zone,'lanyard'|'barricade'
severe_injury_reports_jboysen__2015108985,severe_injury_reports_jboysen,potential_consequence,electrocution_or_electrical_shock|crush_or_entrapment,'shock'|'caught between'
severe_injury_reports_jboysen__2015107644,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|struck_by_object,'fire'|'hit by'
severe_injury_reports_jboysen__2015107647,severe_injury_reports_jboysen,barrier,Lockout/Tagout (LOTO)|Safety guard,'LOTO'|'safety guard'
severe_injury_reports_jboysen__2015118490,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2015129084,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'fall protection'|'anchor point'
severe_injury_reports_jboysen__2015129779,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|struck_by_object,'fire'|'hit by'
severe_injury_reports_jboysen__2015129898,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'lanyard'|'anchor point'
severe_injury_reports_jboysen__2016021386,severe_injury_reports_jboysen,barrier,Fall protection/harness|Seatbelt use,'lanyard'|'safety belt'
severe_injury_reports_jboysen__2016021499,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2016042938,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2016043224,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'lanyard'|'anchor point'
severe_injury_reports_jboysen__2016053995,severe_injury_reports_jboysen,unsafe_condition,missing_or_inadequate_guarding|energized_equipment,'unguarded'|'live electrical'
severe_injury_reports_jboysen__2016054137,severe_injury_reports_jboysen,potential_consequence,struck_by_object|vehicle_collision,'struck by'|'collision'
severe_injury_reports_jboysen__2016054459,severe_injury_reports_jboysen,potential_consequence,electrocution_or_electrical_shock|fire_or_explosion|struck_by_object,'electrical shock'|'fire'|'hit by'
severe_injury_reports_jboysen__2016065089,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2016065111,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|struck_by_object,'fire'|'struck by'
severe_injury_reports_jboysen__2016076837,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'run over'
severe_injury_reports_jboysen__2016076901,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|crush_or_entrapment,'fire'|'caught in'
severe_injury_reports_jboysen__2016087225,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|engulfment_or_asphyxiation,'explosion'|'engulfed'
severe_injury_reports_jboysen__2016087259,severe_injury_reports_jboysen,potential_consequence,crush_or_entrapment|vehicle_collision,'crushed'|'rollover'
severe_injury_reports_jboysen__2016087466,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2016087896,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2016088098,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment|vehicle_collision,'struck by'|'crushed'|'collision'
severe_injury_reports_jboysen__2016098435,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment|vehicle_collision,'struck by'|'caught between'|'collision'
severe_injury_reports_jboysen__2016099005,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|engulfment_or_asphyxiation,'fire'|'engulfed'
severe_injury_reports_jboysen__2016099020,severe_injury_reports_jboysen,potential_consequence,electrocution_or_electrical_shock|fire_or_explosion,'shock'|'fire'
severe_injury_reports_jboysen__2016109562,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2016109686,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__2016109784,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|chemical_exposure_or_burn,'ignited'|'spill'
severe_injury_reports_jboysen__2016109800,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2016109874,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'run over'
severe_injury_reports_jboysen__20161010020,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'lanyard'|'anchor point'
severe_injury_reports_jboysen__20161010281,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|chemical_exposure_or_burn,'fire'|'spill'
severe_injury_reports_jboysen__20161110784,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'crushed'
severe_injury_reports_jboysen__20161110825,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|chemical_exposure_or_burn,'fire'|'spill'
severe_injury_reports_jboysen__20161211513,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|crush_or_entrapment,'fire'|'crushed'
severe_injury_reports_jboysen__20161211641,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught between'
severe_injury_reports_jboysen__2017010187,severe_injury_reports_jboysen,potential_consequence,chemical_exposure_or_burn|crush_or_entrapment,'spill'|'caught between'
severe_injury_reports_jboysen__2017010647,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|crush_or_entrapment,'fire'|'caught in'
severe_injury_reports_jboysen__2017010742,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|chemical_exposure_or_burn,'fire'|'spill'
severe_injury_reports_jboysen__2017021279,severe_injury_reports_jboysen,potential_consequence,fire_or_explosion|crush_or_entrapment,'ignited'|'trapped'
severe_injury_reports_jboysen__2017021462,severe_injury_reports_jboysen,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'caught in'
severe_injury_reports_jboysen__2017021750,severe_injury_reports_jboysen,barrier,Fall protection/harness|Anchor point verification,'lanyard'|'anchor point'
hse_abstracts_2015_2017_ruqaiyaship__220959936,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fire_or_explosion,'fatal'|'fire'
hse_abstracts_2015_2017_ruqaiyaship__220959621,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'caught in'
hse_abstracts_2015_2017_ruqaiyaship__220958508,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|engulfment_or_asphyxiation,'killed'|'engulfed'
hse_abstracts_2015_2017_ruqaiyaship__220958763,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220991921,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220957963,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|engulfment_or_asphyxiation,'death'|'asphyxiation'
hse_abstracts_2015_2017_ruqaiyaship__220957492,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'death'|'run over'
hse_abstracts_2015_2017_ruqaiyaship__220956593,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220964399,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220956320,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|electrocution_or_electrical_shock,'killed'|'shock'
hse_abstracts_2015_2017_ruqaiyaship__220957740_dup1,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220958250,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'run over'
hse_abstracts_2015_2017_ruqaiyaship__220956437,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|engulfment_or_asphyxiation,'killed'|'engulfed'
hse_abstracts_2015_2017_ruqaiyaship__220956833,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220956809,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,engulfment_or_asphyxiation|crush_or_entrapment,'asphyxiation'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220955512,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220968648,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220960827,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object|crush_or_entrapment,'killed'|'struck by'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220954713,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'caught in'
hse_abstracts_2015_2017_ruqaiyaship__220952931,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,electrocution_or_electrical_shock|struck_by_object,'electrocuted'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220952634,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220987085,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,struck_by_object|crush_or_entrapment,'struck by'|'run over'
hse_abstracts_2015_2017_ruqaiyaship__220951644,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|engulfment_or_asphyxiation|crush_or_entrapment,'killed'|'asphyxiation'|'caught in'
hse_abstracts_2015_2017_ruqaiyaship__220950844,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fire_or_explosion,'death'|'fire'
hse_abstracts_2015_2017_ruqaiyaship__220950646,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object|crush_or_entrapment,'killed'|'struck by'|'caught between'
hse_abstracts_2015_2017_ruqaiyaship__220950232,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fire_or_explosion|crush_or_entrapment,'fire'|'trapped'
hse_abstracts_2015_2017_ruqaiyaship__220950729,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'fatal'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220950489,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|electrocution_or_electrical_shock,'killed'|'electrical shock'
hse_abstracts_2015_2017_ruqaiyaship__220953046,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|electrocution_or_electrical_shock,'killed'|'electric shock'
hse_abstracts_2015_2017_ruqaiyaship__220956130,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fall_from_height,'killed'|'fell from elevation'
hse_abstracts_2015_2017_ruqaiyaship__220963300,hse_abstracts_2015_2017_ruqaiyaship,barrier,Seatbelt use|Speed compliance,'seatbelt'|'speed limit'
hse_abstracts_2015_2017_ruqaiyaship__220949846,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'fatal'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220950117,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220950505,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fire_or_explosion,'killed'|'fire'
hse_abstracts_2015_2017_ruqaiyaship__220949051,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220948277,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,electrocution_or_electrical_shock|fire_or_explosion,'electrocuted'|'fire'
hse_abstracts_2015_2017_ruqaiyaship__220948822,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'run over'
hse_abstracts_2015_2017_ruqaiyaship__220948392,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220949085,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'trapped'
hse_abstracts_2015_2017_ruqaiyaship__220949192,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,chemical_exposure_or_burn|crush_or_entrapment,'spill'|'caught between'
hse_abstracts_2015_2017_ruqaiyaship__220948707,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220947071,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'run over'
hse_abstracts_2015_2017_ruqaiyaship__220947394,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220948301,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220947303,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220947360,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|electrocution_or_electrical_shock,'killed'|'electrocution'
hse_abstracts_2015_2017_ruqaiyaship__220963540,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fire_or_explosion|crush_or_entrapment,'fire'|'trapped'
hse_abstracts_2015_2017_ruqaiyaship__220949788,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fire_or_explosion,'killed'|'explosion'
hse_abstracts_2015_2017_ruqaiyaship__220945968,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,electrocution_or_electrical_shock|fire_or_explosion,'electric shock'|'fire'
hse_abstracts_2015_2017_ruqaiyaship__220945778,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220946537,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220957252,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fire_or_explosion,'killed'|'fire'
hse_abstracts_2015_2017_ruqaiyaship__220946677,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'caught between'
hse_abstracts_2015_2017_ruqaiyaship__220946669,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object|crush_or_entrapment,'killed'|'struck by'|'run over'
hse_abstracts_2015_2017_ruqaiyaship__220946511,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220948426,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'run over'
hse_abstracts_2015_2017_ruqaiyaship__220945885,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220945604,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|struck_by_object,'killed'|'struck by'
hse_abstracts_2015_2017_ruqaiyaship__220950000,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220944995,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'death'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220946545,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220944235,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fire_or_explosion|crush_or_entrapment,'Fire'|'trapped'
hse_abstracts_2015_2017_ruqaiyaship__220944532,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|engulfment_or_asphyxiation,'killed'|'asphyxiation'
hse_abstracts_2015_2017_ruqaiyaship__220944003,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fire_or_explosion,'killed'|'explosion'
hse_abstracts_2015_2017_ruqaiyaship__220944102,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'death'|'crushed'
hse_abstracts_2015_2017_ruqaiyaship__220945224,hse_abstracts_2015_2017_ruqaiyaship,barrier,Fall protection/harness|Anchor point verification,'fall protection'|'tie-off point'
hse_abstracts_2015_2017_ruqaiyaship__220944540,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|fire_or_explosion|engulfment_or_asphyxiation,'killed'|'fire'|'engulfed'
hse_abstracts_2015_2017_ruqaiyaship__220951743,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,electrocution_or_electrical_shock|fire_or_explosion,'electrocuted'|'fire'
hse_abstracts_2015_2017_ruqaiyaship__220944417,hse_abstracts_2015_2017_ruqaiyaship,potential_consequence,fatality_or_life_threatening_injury|crush_or_entrapment,'killed'|'crushed'
